iter	RMSE
0	151336.2929
1	131740.8205
2	115609.9362
3	102446.3543
4	92158.17573
5	84568.76721
6	78610.54104
7	73806.76473
8	69506.25878
9	66464.31275
10	63126.03324
11	60750.91587
12	58990.01741
13	57425.1625
14	55550.35777
15	54488.39978
16	53178.52356
17	52246.94745
18	51518.04692
19	50802.42536
20	50045.98543
21	49588.99514
22	48998.98643
23	48627.34686
24	48201.82344
25	47658.65807
26	47400.5199
27	47070.36057
28	46569.06739
29	46256.45403
30	45843.65699
31	45329.05348
32	44867.77971
33	44619.77033
34	44460.08066
35	44175.61318
36	43970.3442
37	43745.72443
38	43300.31806
39	43038.18517
40	42701.1233
41	42501.87089
42	42187.25712
43	42026.00883
44	41808.16242
45	41502.11193
46	41243.54656
47	41065.71266
48	40924.43662
49	40651.70207
50	40476.62494
51	40228.21667
52	40095.79478
53	39952.35055
54	39818.04369
55	39474.58995
56	39352.00698
57	39147.44757
58	39020.6671
59	38907.49348
60	38746.84804
61	38641.82139
62	38428.46332
63	38283.6174
64	38163.01389
65	37900.311
66	37806.02901
67	37697.41199
68	37602.84545
69	37407.70656
70	37247.27321
71	37112.92433
72	37008.58266
73	36894.75881
74	36722.92694
75	36614.43722
76	36464.66873
77	36334.74388
78	36225.41872
79	36041.58726
80	35974.3216
81	35874.74227
82	35743.20905
83	35636.37852
84	35558.39394
85	35469.63675
86	35376.97742
87	35271.66681
88	35169.68357
89	35100.958
90	35045.14423
91	34960.07069
92	34821.6846
93	34719.53105
94	34605.0542
95	34534.41938
96	34489.2443
97	34403.44065
98	34334.16347
99	34258.53316
100	34158.43592
101	34082.88966
102	34021.35547
103	33979.95476
104	33867.46303
105	33807.77423
106	33756.88134
107	33708.46536
108	33595.87268
109	33510.94717
110	33475.94626
111	33403.36395
112	33330.77102
113	33233.86524
114	33213.62524
115	33175.25461
116	33058.01615
117	32985.17231
118	32933.47924
119	32880.77239
120	32823.18804
121	32773.79651
122	32724.89133
123	32648.92731
124	32618.013
125	32563.3944
126	32487.73155
127	32405.71895
128	32364.91576
129	32307.86932
130	32244.88594
131	32208.4806
132	32167.81964
133	32111.76118
134	32022.93285
135	31968.89784
136	31911.04218
137	31866.33557
138	31837.26084
139	31769.06875
140	31718.79534
141	31637.94687
142	31594.03463
143	31520.83118
144	31464.57724
145	31406.16165
146	31335.95551
147	31294.73092
148	31253.10657
149	31215.55491
150	31159.61349
151	31135.19561
152	31086.70086
153	31046.87288
154	31001.80266
155	30954.41158
156	30908.86438
157	30885.0486
158	30845.03296
159	30784.04412
160	30757.95579
161	30721.842
162	30697.56422
163	30652.38356
164	30615.00407
165	30572.48211
166	30539.73455
167	30498.85473
168	30463.03915
169	30435.58429
170	30407.57618
171	30373.10621
172	30326.30326
173	30303.85959
174	30272.37446
175	30244.85986
176	30207.25269
177	30163.78106
178	30135.91238
179	30111.8501
180	30082.704
181	30029.26423
182	29966.35573
183	29944.71328
184	29918.87974
185	29884.40779
186	29866.87782
187	29856.18699
188	29823.8133
189	29784.62817
190	29736.09327
191	29696.48603
192	29644.80149
193	29600.76898
194	29540.51317
195	29521.41223
196	29468.08385
197	29443.21117
198	29410.53681
199	29365.07652
200	29341.82367
201	29315.0145
202	29287.77454
203	29262.54529
204	29233.26132
205	29206.83322
206	29178.76228
207	29151.86355
208	29108.1012
209	29078.02909
210	29057.11399
211	29016.11843
212	28991.84787
213	28975.21499
214	28929.5634
215	28903.85821
216	28888.88193
217	28860.32824
218	28833.83495
219	28819.4615
220	28801.68591
221	28774.36842
222	28736.06849
223	28707.22646
224	28688.98086
225	28671.32894
226	28641.38436
227	28619.26256
228	28595.09841
229	28578.16031
230	28557.22876
231	28528.73302
232	28498.92187
233	28477.91108
234	28446.87784
235	28422.71386
236	28391.67321
237	28367.79389
238	28352.86633
239	28333.96303
240	28312.78379
241	28284.98628
242	28257.77521
243	28235.43655
244	28219.75083
245	28203.02069
246	28170.57362
247	28159.60301
248	28156.56409
249	28138.32641
250	28124.50102
251	28105.31993
252	28091.51252
253	28066.81554
254	28047.92484
255	28040.67444
256	28020.84691
257	28008.39554
258	27991.47757
259	27975.54081
260	27962.25037
261	27943.53762
262	27927.32616
263	27904.25709
264	27885.90093
265	27854.82121
266	27833.9869
267	27805.33013
268	27784.73193
269	27749.89209
270	27731.38846
271	27714.78921
272	27698.71726
273	27671.03008
274	27656.69018
275	27637.48307
276	27624.75331
277	27595.50404
278	27573.78071
279	27562.63745
280	27543.55911
281	27529.68136
282	27512.97451
283	27493.59519
284	27470.30618
285	27456.04174
286	27436.69378
287	27417.05239
288	27390.49029
289	27376.2345
290	27366.93883
291	27348.91045
292	27338.20523
293	27320.98935
294	27303.66693
295	27293.49655
296	27277.81501
297	27266.03722
298	27252.08849
299	27241.05604
