iter	Passed	Remaining
0	14	4453
1	30	4501
2	43	4354
3	56	4216
4	70	4170
5	83	4094
6	97	4083
7	110	4027
8	121	3940
9	134	3894
10	146	3848
11	160	3840
12	172	3797
13	184	3768
14	197	3751
15	209	3712
16	221	3680
17	234	3675
18	246	3640
19	260	3642
20	272	3618
21	284	3597
22	298	3595
23	312	3592
24	326	3588
25	339	3581
26	351	3551
27	364	3537
28	377	3527
29	391	3519
30	404	3513
31	417	3500
32	432	3499
33	445	3482
34	459	3476
35	473	3469
36	486	3455
37	501	3458
38	515	3447
39	528	3432
40	540	3413
41	555	3411
42	569	3402
43	582	3391
44	597	3384
45	610	3368
46	622	3353
47	636	3341
48	649	3327
49	665	3325
50	680	3321
51	694	3311
52	708	3303
53	723	3297
54	740	3296
55	754	3288
56	769	3281
57	783	3269
58	799	3265
59	815	3261
60	827	3241
61	839	3224
62	853	3211
63	866	3196
64	881	3186
65	895	3174
66	907	3157
67	922	3145
68	936	3134
69	950	3123
70	963	3107
71	976	3090
72	990	3080
73	1004	3067
74	1018	3055
75	1032	3043
76	1046	3030
77	1060	3018
78	1073	3001
79	1087	2991
80	1100	2974
81	1114	2962
82	1125	2941
83	1136	2923
84	1150	2909
85	1162	2891
86	1176	2881
87	1190	2868
88	1203	2853
89	1216	2839
90	1231	2827
91	1245	2816
92	1258	2800
93	1271	2786
94	1285	2772
95	1297	2756
96	1310	2743
97	1323	2728
98	1336	2713
99	1351	2702
100	1363	2687
101	1376	2671
102	1389	2658
103	1403	2644
104	1417	2632
105	1430	2617
106	1444	2605
107	1457	2591
108	1468	2572
109	1482	2560
110	1495	2545
111	1508	2531
112	1522	2519
113	1536	2506
114	1550	2494
115	1564	2480
116	1577	2466
117	1591	2453
118	1605	2441
119	1617	2426
120	1629	2409
121	1641	2395
122	1655	2382
123	1667	2367
124	1682	2355
125	1695	2341
126	1708	2327
127	1721	2313
128	1734	2299
129	1748	2286
130	1762	2273
131	1776	2261
132	1788	2245
133	1801	2232
134	1816	2219
135	1827	2203
136	1842	2192
137	1857	2180
138	1870	2166
139	1884	2153
140	1895	2137
141	1910	2125
142	1925	2113
143	1940	2102
144	1954	2088
145	1966	2074
146	1980	2061
147	1993	2047
148	2005	2032
149	2017	2017
150	2030	2003
151	2044	1990
152	2056	1975
153	2070	1962
154	2082	1948
155	2095	1934
156	2109	1921
157	2122	1907
158	2137	1895
159	2149	1880
160	2162	1866
161	2176	1853
162	2188	1839
163	2201	1825
164	2215	1812
165	2227	1798
166	2240	1784
167	2252	1769
168	2265	1755
169	2278	1742
170	2290	1728
171	2304	1714
172	2316	1700
173	2331	1688
174	2343	1674
175	2357	1661
176	2369	1646
177	2381	1632
178	2395	1619
179	2408	1605
180	2418	1590
181	2432	1576
182	2444	1563
183	2457	1549
184	2469	1535
185	2480	1520
186	2493	1506
187	2507	1493
188	2521	1480
189	2534	1467
190	2546	1453
191	2561	1440
192	2574	1427
193	2587	1413
194	2602	1401
195	2614	1387
196	2629	1374
197	2642	1361
198	2654	1347
199	2667	1333
200	2680	1320
201	2695	1307
202	2710	1295
203	2724	1281
204	2738	1269
205	2754	1256
206	2768	1243
207	2782	1230
208	2795	1217
209	2808	1203
210	2822	1190
211	2836	1177
212	2849	1163
213	2863	1150
214	2876	1137
215	2890	1123
216	2904	1110
217	2917	1097
218	2931	1084
219	2943	1070
220	2956	1056
221	2969	1043
222	2982	1029
223	2998	1017
224	3010	1003
225	3024	990
226	3039	977
227	3056	965
228	3069	951
229	3083	938
230	3098	925
231	3112	912
232	3127	899
233	3142	886
234	3156	873
235	3169	859
236	3180	845
237	3194	832
238	3207	818
239	3221	805
240	3234	791
241	3246	778
242	3261	764
243	3272	751
244	3284	737
245	3297	723
246	3309	710
247	3324	697
248	3337	683
249	3350	670
250	3363	656
251	3375	642
252	3389	629
253	3402	616
254	3415	602
255	3428	589
256	3440	575
257	3454	562
258	3466	548
259	3478	535
260	3493	522
261	3504	508
262	3518	495
263	3531	481
264	3544	468
265	3557	454
266	3570	441
267	3587	428
268	3600	414
269	3615	401
270	3629	388
271	3642	375
272	3657	361
273	3672	348
274	3685	335
275	3698	321
276	3712	308
277	3725	294
278	3738	281
279	3752	268
280	3764	254
281	3779	241
282	3792	227
283	3807	214
284	3821	201
285	3833	187
286	3847	174
287	3860	160
288	3875	147
289	3888	134
290	3899	120
291	3914	107
292	3927	93
293	3938	80
294	3952	66
295	3966	53
296	3982	40
297	3995	26
298	4011	13
299	4025	0
